u,v,key,osmid,highway,lanes,name,oneway,reversed,length,junction,geometry,ref,access,bridge,maxspeed,tunnel
2146273519,2146273517,0,204635239,living_street,,,False,False,87.95621047690986,,"LINESTRING (72.9012339 19.068836, 72.9005846 19.0683369)",,,,,
2163935132,4264598325,0,206386130,tertiary,,Road No. 4,False,True,14.482010973691537,,"LINESTRING (72.9014549 19.0709141, 72.9013295 19.0709681)",,,,,
2163935132,2146273510,0,107213212,tertiary,,Ghatkopar Mahul Road,True,False,109.10992661225417,,"LINESTRING (72.9014549 19.0709141, 72.9012289 19.0704656, 72.9011747 19.0703463, 72.9010991 19.0701798, 72.9010267 19.0700204)",,,,,
2244637012,6491091371,0,215040167,residential,,,False,True,66.52478777564473,,"LINESTRING (72.8659027 19.0749698, 72.8660388 19.0753245, 72.8661186 19.0755322)",,,,,
2244637012,6491091372,0,1430217913,residential,,Sunder Nagar Road Number 2,False,False,66.00255188632435,,"LINESTRING (72.8659027 19.0749698, 72.8658662 19.0751555, 72.8658187 19.0755577)",,,,,
2244637012,622060792,0,1430217913,residential,,Sunder Nagar Road Number 2,False,True,71.86112097252285,,"LINESTRING (72.8659027 19.0749698, 72.8659059 19.0749439, 72.8659656 19.0744549, 72.8659811 19.0743278)",,,,,
2244637026,4342420383,0,215040167,residential,,,False,False,43.756115437162606,,"LINESTRING (72.8663298 19.0764382, 72.8664895 19.0762475, 72.8666168 19.0761574)",,,,,
2244637026,2244637067,0,215040167,residential,,,False,True,191.26030544836925,,"LINESTRING (72.8663298 19.0764382, 72.8660279 19.0770455, 72.8659284 19.0771671, 72.8655376 19.0774332, 72.8651677 19.0777006)",,,,,
2244637026,6554206834,0,697896824,residential,,,False,True,113.0839905867482,,"LINESTRING (72.8663298 19.0764382, 72.8662205 19.0763799, 72.8661427 19.0762278, 72.8660381 19.0762075, 72.8659442 19.0762075, 72.8658289 19.0761822, 72.8657404 19.076134, 72.8656009 19.0760529, 72.8654394 19.0759641)",,,,,
2244637034,9840924664,0,49014341,residential,,,False,True,11.394566400439619,,"LINESTRING (72.8671646 19.0766468, 72.8672705 19.0766248)",,,,,
2244637034,4342420490,0,49014341,residential,,,False,False,83.58657853982398,,"LINESTRING (72.8671646 19.0766468, 72.8671566 19.0767792, 72.8671874 19.0769896, 72.8672822 19.0773863)",,,,,
2244637034,4342420383,0,652579146,residential,,,False,True,83.76332032372011,,"LINESTRING (72.8671646 19.0766468, 72.8671332 19.076548, 72.8671217 19.0765117, 72.8670037 19.0763444, 72.8668937 19.0762811, 72.8667837 19.0762304, 72.8666168 19.0761574)",,,,,
2244637049,9171437921,0,1217700723,residential,,,False,False,35.97059711734432,,"LINESTRING (72.8701729 19.0770585, 72.8705067 19.0771301)",,,,,
2244637049,622060575,0,215040226,residential,,,False,False,103.88738962128542,,"LINESTRING (72.8701729 19.0770585, 72.8702705 19.0769626, 72.8704079 19.0768225, 72.8706098 19.0767006, 72.8708529 19.0763932)",,,,,
2244637049,11054673417,0,215040226,residential,,,False,True,23.005525788749488,,"LINESTRING (72.8701729 19.0770585, 72.8701006 19.0770994, 72.8699947 19.077178)",,,,,
2244637056,11054673417,0,215040226,residential,,,False,False,13.158055519280595,,"LINESTRING (72.8699286 19.0772785, 72.8699947 19.077178)",,,,,
